City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Richards Bay,ZA,-28.783,32.0377,70.23,68,89,11.32,overcast clouds
129,Wuda,CN,39.4994,106.7117,46.78,26,0,2.73,clear sky
130,Dudinka,RU,69.4058,86.1778,31.62,89,97,11.77,overcast clouds
131,Cherskiy,RU,68.75,161.3,6.17,97,95,6.8,overcast clouds
132,Lorengau,PG,-2.0226,147.2712,81.14,79,80,6.22,broken clouds
133,Darhan,MN,49.4867,105.9228,30.78,49,0,7.85,clear sky
134,Coquimbo,CL,-29.9533,-71.3436,55.13,87,100,5.75,overcast clouds
135,Kapoeta,SS,4.7717,33.5903,90.99,30,100,14.32,overcast clouds
136,Alice Springs,AU,-23.7,133.8833,67.55,88,40,3.44,scattered clouds
137,Yuncheng,CN,35.0231,110.9928,59.23,31,84,3.04,broken clouds
138,Bambous Virieux,MU,-20.3428,57.7575,73.65,73,40,6.91,scattered clouds
139,Kruisfontein,ZA,-34.0033,24.7314,77.88,60,100,13.73,overcast clouds
140,Avarua,CK,-21.2078,-159.775,73.45,88,75,8.05,broken clouds
141,Abu Samrah,SY,35.3029,37.1841,80.29,30,22,9.33,few clouds
142,Svetlogorsk,BY,52.6333,29.7333,48.7,59,58,10.69,broken clouds
143,Pandan,PH,14.0453,124.1694,80.26,87,95,7.85,overcast clouds
144,Portland,US,45.5234,-122.6762,69.78,59,0,0.0,clear sky
145,Sioux Lookout,CA,50.1001,-91.917,33.87,93,100,18.41,mist
146,Bethel,US,41.3712,-73.414,59.54,71,0,1.99,clear sky
147,Faanui,PF,-16.4833,-151.75,78.87,67,7,17.6,clear sky
148,Qaanaaq,GL,77.484,-69.3632,32.63,90,100,7.07,light snow
149,Necochea,AR,-38.5473,-58.7368,65.62,44,48,7.96,scattered clouds
150,Dinghai,CN,26.2847,119.7936,72.52,84,100,25.1,overcast clouds
151,Polunochnoye,RU,60.8697,60.4153,38.73,92,100,6.64,overcast clouds
152,Mercedes,AR,-34.6515,-59.4307,67.03,38,36,11.34,scattered clouds
153,Porto Belo,BR,-27.1578,-48.5531,72.68,98,100,3.27,overcast clouds
154,Xuzhou,CN,34.1805,117.1571,58.8,47,98,13.47,overcast clouds
155,Manta,EC,-0.95,-80.7333,71.38,88,100,9.22,overcast clouds
156,Pevek,RU,69.7008,170.3133,10.51,96,98,4.16,overcast clouds
157,Kaitangata,NZ,-46.2817,169.8464,48.87,83,97,5.06,overcast clouds
158,Inta,RU,66.0317,60.1659,37.62,96,100,12.28,overcast clouds
159,Mafinga,TZ,-7.25,35.0667,89.65,19,13,4.12,few clouds
160,Usinsk,RU,65.9939,57.5281,37.89,94,95,8.25,overcast clouds
161,Muros,ES,42.7762,-9.0603,65.08,87,78,12.41,broken clouds
162,Peace River,CA,56.2501,-117.286,28.71,86,20,4.61,few clouds
163,Caravelas,BR,-17.7125,-39.2481,77.45,65,65,6.69,broken clouds
164,Sfantu Gheorghe,RO,45.8667,25.7833,59.94,52,1,1.41,clear sky
165,Kargil,IN,34.5667,76.1,46.85,23,9,4.99,clear sky
166,Komsomolskoye,RU,55.2567,47.5461,42.71,75,18,5.14,few clouds
167,Kavieng,PG,-2.5744,150.7967,81.55,79,79,11.59,light rain
168,Shelburne,CA,44.0787,-80.2041,47.12,74,32,14.34,scattered clouds
169,Wapakoneta,US,40.5678,-84.1936,57.24,46,0,9.22,clear sky
170,Marrakesh,MA,31.6315,-8.0083,80.67,34,75,23.02,sand
171,Maniitsoq,GL,65.4167,-52.9,38.01,65,100,16.06,overcast clouds
172,Lima,PE,-12.0432,-77.0282,62.91,80,100,9.22,overcast clouds
173,Ambon,ID,-3.6954,128.1814,78.94,94,40,3.44,scattered clouds
174,Howell,US,42.6073,-83.9294,53.26,72,0,4.61,clear sky
175,Sao Filipe,CV,14.8961,-24.4956,77.58,71,8,6.26,clear sky
176,Baruun-Urt,MN,46.6806,113.2792,26.58,47,6,8.03,clear sky
177,Diego De Almagro,CL,-26.3667,-70.05,75.42,14,0,6.96,clear sky
178,Dapaong,TG,10.8639,0.205,89.73,43,3,4.65,clear sky
179,Chara,RU,56.9064,118.2631,20.16,73,48,3.38,scattered clouds
180,Constitucion,CL,-35.3333,-72.4167,62.69,63,22,14.23,few clouds
181,Thompson,CA,55.7435,-97.8558,21.36,93,20,8.05,few clouds
182,Thinadhoo,MV,0.5333,72.9333,82.58,67,100,15.12,overcast clouds
183,Rawson,AR,-43.3002,-65.1023,52.61,70,100,14.56,overcast clouds
184,Sandnessjoen,NO,66.0217,12.6316,48.31,69,0,3.44,clear sky
185,Anadyr,RU,64.75,177.4833,12.7,92,40,2.24,scattered clouds
186,Egvekinot,RU,66.3167,-179.1667,11.14,86,97,12.86,overcast clouds
187,Huaibei,CN,33.9744,116.7917,59.86,50,99,14.45,overcast clouds
188,Bubaque,GW,11.2833,-15.8333,83.3,65,66,4.63,broken clouds
189,San Quintin,MX,30.4833,-115.95,66.15,65,0,7.09,clear sky
190,Moissala,TD,8.3404,17.7663,85.14,68,97,4.18,overcast clouds
191,Gushikawa,JP,26.3544,127.8686,81.63,83,40,10.36,scattered clouds
192,Majene,ID,-3.5403,118.9707,79.93,85,100,3.11,overcast clouds
193,Kaiserslautern,DE,49.45,7.75,67.78,61,20,3.44,few clouds
194,Westport,US,41.1415,-73.3579,62.82,77,0,8.05,clear sky
195,Zaraza,VE,9.3503,-65.3245,88.83,54,54,5.35,broken clouds
196,Narsaq,GL,60.9167,-46.05,37.62,66,8,1.05,clear sky
197,Batagay-Alyta,RU,67.8006,130.4114,14.32,81,100,6.49,overcast clouds
198,Platanos,GR,37.6667,21.6167,74.05,52,0,4.92,clear sky
199,Kodiak,US,57.79,-152.4072,47.71,93,100,8.05,mist
200,Jamestown,US,42.097,-79.2353,52.52,53,75,8.99,broken clouds
201,Zhigansk,RU,66.7697,123.3711,27.93,95,100,9.13,light snow
202,Fortuna,US,40.5982,-124.1573,55.74,90,100,0.0,overcast clouds
203,Nikolskoye,RU,59.7035,30.7861,49.91,88,97,11.32,overcast clouds
204,Aksarka,RU,66.5606,67.7975,38.3,97,100,2.37,overcast clouds
205,Ginda,IN,30.6945,78.4932,56.03,78,1,4.38,clear sky
206,Pagudpud,PH,18.5616,120.7868,78.62,81,100,5.7,light rain
207,Zaozerne,UA,45.1582,33.2787,57.92,74,47,21.83,scattered clouds
208,Lompoc,US,34.6391,-120.4579,61.79,87,100,4.61,overcast clouds
209,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.4,68,29,13.69,scattered clouds
210,Kargasok,RU,59.0556,80.8572,35.06,78,84,3.38,broken clouds
211,Xining,CN,36.6167,101.7667,43.32,44,0,2.19,clear sky
212,Ilulissat,GL,69.2167,-51.1,42.82,36,100,8.05,overcast clouds
213,Shitanjing,CN,39.2342,106.3439,44.55,29,0,4.07,clear sky
214,Ilo,PE,-17.6394,-71.3375,65.89,65,15,8.55,few clouds
215,Hailey,US,43.5196,-114.3153,37.26,52,0,13.8,clear sky
216,Mandera,KE,3.9366,41.867,90.97,37,86,11.9,overcast clouds
217,Gimbi,ET,9.1667,35.8333,59.81,88,59,2.21,moderate rain
218,Manaure,CO,11.7751,-72.4445,86.0,68,33,11.92,scattered clouds
219,Arman,RU,59.7,150.1667,20.55,65,68,6.35,broken clouds
220,Kwekwe,ZW,-18.9281,29.8149,86.74,24,99,11.41,overcast clouds
221,Ostrovnoy,RU,68.0531,39.5131,46.35,87,100,21.92,overcast clouds
222,Atar,MR,20.5169,-13.0499,101.25,14,27,5.37,scattered clouds
223,Flin Flon,CA,54.7682,-101.865,21.04,79,20,6.91,few clouds
224,Nuevo Progreso,MX,23.1667,-97.95,82.47,80,21,5.44,few clouds
225,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,66,20,9.22,few clouds
226,San Francisco,US,37.7749,-122.4194,62.83,83,100,6.91,overcast clouds
227,Mar Del Plata,AR,-38.0023,-57.5575,62.62,82,0,8.99,clear sky
228,Lumphat,KH,13.4878,106.9816,72.34,97,77,2.19,heavy intensity rain
229,Holiday,US,28.1878,-82.7395,83.17,74,0,8.01,clear sky
230,Pontianak,ID,-0.0333,109.3333,75.18,100,75,2.3,light rain
