City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Catuday,PH,2022-10-14 22:29:45,16.2923,119.8062,79.93,81,100,10.56
95,Edson,CA,2022-10-14 22:29:46,53.5835,-116.4356,64.54,36,40,19.57
96,Conway,US,2022-10-14 22:29:47,35.0887,-92.4421,85.98,18,0,16.11
97,Hagi,JP,2022-10-14 22:29:47,34.4,131.4167,62.74,87,5,2.93
98,Zhob,PK,2022-10-14 22:29:48,31.3411,69.4481,63.66,19,0,3.91
99,Hasaki,JP,2022-10-14 22:29:48,35.7333,140.8333,70.21,72,100,17.45
100,Luena,AO,2022-10-14 22:29:49,-11.7833,19.9167,65.43,27,7,2.33
101,Ugoofaaru,MV,2022-10-14 22:29:49,5.6667,73.0,80.46,80,100,18.81
102,Nador,MA,2022-10-14 22:29:50,35.174,-2.9287,68.25,60,0,3.44
103,Uthal,PK,2022-10-14 22:29:50,25.8072,66.6219,76.32,55,0,0.13
104,Aklavik,CA,2022-10-14 22:29:50,68.2191,-135.0107,30.2,47,75,2.3
105,Mapua,NZ,2022-10-14 22:29:51,-41.25,173.1,54.55,54,100,2.37
106,Lompoc,US,2022-10-14 22:29:51,34.6391,-120.4579,75.69,85,100,10.36
107,Dryden,CA,2022-10-14 22:27:51,49.7833,-92.7503,39.49,70,75,0.0
108,Northam,GB,2022-10-14 22:29:52,51.0333,-4.2167,55.26,95,88,12.39
109,Avera,US,2022-10-14 22:29:52,33.194,-82.5271,74.55,42,0,1.99
110,Colac,AU,2022-10-14 22:29:53,-38.3333,143.5833,52.18,88,100,7.29
111,Vallenar,CL,2022-10-14 22:29:53,-28.5708,-70.7581,72.63,39,0,7.36
112,Deputatskiy,RU,2022-10-14 22:29:54,69.3,139.9,1.9,93,98,5.86
113,Malanville,BJ,2022-10-14 22:29:54,11.8685,3.3899,76.71,77,83,7.2
114,Upernavik,GL,2022-10-14 22:29:55,72.7868,-56.1549,25.43,89,98,13.02
115,Souillac,MU,2022-10-14 22:29:55,-20.5167,57.5167,71.98,73,40,11.5
116,Asyut,EG,2022-10-14 22:29:56,27.181,31.1837,75.38,48,8,6.44
117,Tessalit,ML,2022-10-14 22:29:56,20.1986,1.0114,85.21,8,0,13.13
118,Visnes,NO,2022-10-14 22:29:57,59.3556,5.2242,51.22,87,75,4.61
119,Arraial Do Cabo,BR,2022-10-14 22:29:57,-22.9661,-42.0278,71.96,90,7,12.93
120,Hede,CN,2022-10-14 22:29:58,33.7681,120.2517,55.54,81,7,4.79
121,Yaan,NG,2022-10-14 22:29:59,7.3833,8.5667,71.98,96,99,5.95
122,Henties Bay,NA,2022-10-14 22:29:59,-22.116,14.2845,56.93,91,62,5.35
123,Salalah,OM,2022-10-14 22:30:00,17.0151,54.0924,77.09,88,40,4.61
124,Sao Lourenco Do Sul,BR,2022-10-14 22:30:00,-31.3653,-51.9783,58.89,60,90,15.26
