City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
428,Puerto Vallarta,MX,82.9,light rain,20.6204,-105.2307,Sunset Plaza Beach Resort & Spa
429,Sabha,LY,81.73,broken clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
431,Ambilobe,MG,75.7,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
434,Thanh Hoa,VN,72.45,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
439,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
441,Tomatlan,MX,81.37,few clouds,19.9333,-105.25,El Salvial
442,Viernheim,DE,70.52,few clouds,49.5417,8.5786,Hotel NH Mannheim Viernheim
446,Bahia Honda,CU,82.85,clear sky,22.9036,-83.1592,Casa Gualberto - Deysi
451,Lamu,KE,80.82,overcast clouds,-2.2717,40.902,Lamu House
452,Ternate,ID,82.33,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
455,Kampot,KH,75.25,few clouds,10.6167,104.1833,Two Moons Hotel
457,Riberalta,BO,84.4,broken clouds,-10.9833,-66.1,Hotel Colonial
459,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
461,Kaman,IN,81.77,clear sky,27.65,77.2667,Dr.kishan kaman
462,Barcelona,ES,84.18,few clouds,41.3888,2.159,Axel Hotel Barcelona
464,San Juan,AR,74.48,clear sky,-31.5375,-68.5364,Hotel Provincial
465,Guadix,ES,81.12,overcast clouds,37.2993,-3.1392,Hotel YIT Abentofail
466,Mazatlan,MX,81.01,broken clouds,23.2167,-106.4167,Hotel La Siesta
468,Dalbandin,PK,77.45,clear sky,28.8947,64.4101,Sanjrani House
469,Nanakuli,US,78.12,overcast clouds,21.3906,-158.1547,Camp Pālehua
471,Bethal,ZA,75.54,overcast clouds,-26.4579,29.4655,Bluegum Country Lodge
472,Tiassale,CI,82.04,light rain,5.8983,-4.8283,Hotel des hotes
474,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
475,Parrita,CR,78.78,overcast clouds,9.5201,-84.3225,Beso del Viento
480,Lucapa,AO,83.19,broken clouds,-8.4192,20.7447,Lírio Mendes
482,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
483,Ahuimanu,US,77.86,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
484,Sao Sebastiao,BR,77.4,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
485,Quatre Cocos,MU,73.51,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
486,Araxa,BR,76.96,few clouds,-19.5933,-46.9406,Plaza Inn Flat Araxá
488,Awjilah,LY,79.88,clear sky,29.1081,21.2869,المنزل
494,Abha,SA,75.02,scattered clouds,18.2164,42.5053,Abha Hotel
499,Chumphon,TH,71.33,overcast clouds,10.3333,98.8333,สกาน จ๋า.
500,Galiakot,IN,76.15,clear sky,23.5167,74.0,Alif Manzill
503,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
507,Waingapu,ID,82.02,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
510,Sungai Petani,MY,79.18,overcast clouds,5.647,100.4877,Swiss Avenue Hotel Sungai Petani
513,Inirida,CO,74.71,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
517,Ascension,US,79.0,clear sky,30.2169,-90.9001,Highland Inn
518,Qui Nhon,VN,77.52,overcast clouds,13.7667,109.2333,Seagull Hotel
521,Kitui,KE,78.58,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
522,Auki,SB,76.5,broken clouds,-8.7676,160.7034,Auki Motel
528,Liwale,TZ,82.47,overcast clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
533,Salinopolis,BR,84.13,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
534,Bermeo,ES,82.4,broken clouds,43.4209,-2.7215,Eco-Hotel Mundaka
